id,Title,Author,Permalink
1176,"Snow Leopard and Cisco VPNs",7,http://www.astrobetter.com/blog/2009/11/30/snow-leopard-and-cisco-vpns/
1239,"Links: Ergonomic Upgrades, Unfriending, Google, Twitter, and more...",3,http://www.astrobetter.com/blog/2009/11/27/links-ergonomic-upgrades-unfriending-google-twitter-and-more/
1263,.astronomy,6,http://www.astrobetter.com/blog/2009/11/29/astronomy/
1275,"Links: new IDL routines, Quicksilver updated, figure placement in LaTeX, and more...",3,http://www.astrobetter.com/blog/2009/12/04/links-new-idl-routines-quicksilver-updated-figure-placement-in-latex-and-more/
1291,"Use DropBox to keep Multiple Computers in Sync",3,http://www.astrobetter.com/blog/2009/12/23/use-dropbox-to-keep-multiple-computers-in-sync/
1341,"Links: DropBox on the iPhone, 3D Plots in LaTeX, Scheduling, and more...",3,http://www.astrobetter.com/blog/2009/12/13/links-dropbox-on-the-iphone-3d-plots-in-latex-scheduling-and-more/
1440,"Fitting surface brightness profiles",5,http://www.astrobetter.com/blog/2009/12/14/fitting-surface-brightness-profiles/
1449,"Links: Live Blogging, UK Budget Crisis, and more...",3,http://www.astrobetter.com/blog/2009/12/18/links-live-blogging-uk-budget-crisis-and-more/
1457,"MarcoPolo - Context-aware computing for Mac",7,http://www.astrobetter.com/blog/2010/01/11/marcopolo-context-aware-computing-for-mac/
1477,"Keep iCal and Address Book in Sync Across Multiple Computers: MobileMe vs. Fruux.",3,http://www.astrobetter.com/blog/2010/04/14/keep-ical-and-address-book-in-sync-across-multiple-computers-mobileme-vs-fruux/
1496,"Links: Multiple Monitors, Public Speaking, Laptop Posture, and more",3,http://www.astrobetter.com/blog/2009/12/25/links-multiple-monitors-public-speaking-laptop-posture-and-more/
1503,"Twitter at AAS next week #aas215",3,http://www.astrobetter.com/blog/2009/12/30/twitter-at-aas-next-week-aas215/
1507,"Google Wave Notifiers",6,http://www.astrobetter.com/blog/2009/12/28/macwave/
1542,"Introducing the AstroBetter Wiki",4,http://www.astrobetter.com/blog/2010/01/27/introducing-the-astrobetter-wiki/
1550,"Links: Dark Matter, AstroPy, Writing, and More",3,http://www.astrobetter.com/blog/2010/01/01/links-dark-matter-astropy-writing-and-more/
1574,"Links: Interview Practice, Key Remap, and Nexus One/Android 2.1",3,http://www.astrobetter.com/blog/2010/01/08/links-interview-practice-key-remap-and-nexus-oneandroid-2-1/
1593,"3D Plotting in Python with matplotlib mplot3d",4,http://www.astrobetter.com/blog/2010/02/01/3d-plotting-in-python-with-matplotlib-mplot3d/
1600,"Links: AAS Tweets Rundown, Screen Sharing, Wave FAQ, and more.",3,http://www.astrobetter.com/blog/2010/01/15/links-aas-tweets-rundown-screen-sharing-wave-faq-and-more/
1623,"Links: Negotiating Tenure Track Jobs, Unclutter Your Office, Collaboration Tools Compared, and more.",3,http://www.astrobetter.com/blog/2010/01/22/links-negotiating-tenure-track-jobs-unclutter-your-office-collaboration-tools-compared-and-more/
1637,"Evernote: Organize notes, emails, photos, and more all in one place.",10,http://www.astrobetter.com/blog/2010/01/25/evernote/
1649,"Are Non-Academic Jobs Worthy of the Rumor Mill?",3,http://www.astrobetter.com/blog/2010/01/25/are-non-academic-jobs-worthy-of-the-rumor-mill/
1673,"Links: iPad, Effective Delegation, Job Interviews, and More",3,http://www.astrobetter.com/blog/2010/01/29/links-ipad-effective-delegation-job-interviews-and-more/
1698,"Links: Astronomy Culture Studied, Changing Institutions, Better Presentations, and More",3,http://www.astrobetter.com/blog/2010/02/05/links-astronomy-culture-studied-changing-institutions-better-presentations-and-more/
1712,Seatguru,5,http://www.astrobetter.com/blog/2010/02/05/seatguru/
